TIME_PERIOD,OBS_VALUE
2008-01,49891.000
2008-02,45277.000
2008-03,46605.000
2008-04,41417.000
2008-05,35384.000
2008-06,34787.000
2008-07,35850.000
2008-08,32868.000
2008-09,35637.000
2008-10,40552.000
2008-11,44303.000
2008-12,51583.000
2009-01,54706.000
2009-02,46460.000
2009-03,44416.000
2009-04,37192.000
2009-05,34419.000
2009-06,33696.000
2009-07,35108.000
2009-08,32782.000
2009-09,34365.000
2009-10,39366.000
2009-11,41846.000
2009-12,50810.000
2010-01,56298.000
2010-02,48589.000
2010-03,48189.000
2010-04,38256.000
2010-05,37068.000
2010-06,34258.000
2010-07,35869.000
2010-08,32887.000
2010-09,34888.000
2010-10,40537.000
2010-11,46475.000
2010-12,57460.000
2011-01,53783.000
2011-02,45835.000
2011-03,45420.000
2011-04,35018.000
2011-05,34748.000
2011-06,33386.000
2011-07,33797.000
2011-08,32184.000
2011-09,33920.000
2011-10,37783.000
2011-11,42119.000
2011-12,48367.000
2012-01,51067.000
2012-02,54143.000
2012-03,42887.000
2012-04,39650.000
2012-05,34768.000
2012-06,32579.000
2012-07,33479.000
2012-08,31577.000
2012-09,32756.000
2012-10,37926.000
2012-11,43941.000
2012-12,49248.000
2013-01,53467.000
2013-02,49363.000
2013-03,49160.000
2013-04,39683.000
2013-05,36246.000
2013-06,32199.000
2013-07,33838.000
2013-08,30684.000
2013-09,32586.000
2013-10,36375.000
2013-11,44959.000
2013-12,49949.000
2014-01,49083.000
2014-02,44402.000
2014-03,42814.000
2014-04,35801.000
2014-05,33780.000
2014-06,31723.000
2014-07,33034.000
2014-08,30121.000
2014-09,32508.000
2014-10,35714.000
2014-11,40727.000
2014-12,49032.000
2015-01,52397.000
2015-02,48530.000
2015-03,45710.000
2015-04,36521.000
2015-05,33610.000
2015-06,32925.000
2015-07,34581.000
2015-08,31319.000
2015-09,33148.000
2015-10,38792.000
2015-11,40893.000
2015-12,44610.000
2016-01,50101.000
2016-02,46402.000
2016-03,47294.000
2016-04,38817.000
2016-05,34383.000
2016-06,32627.000
2016-07,33631.000
2016-08,32093.000
2016-09,33030.000
2016-10,38211.000
2016-11,44439.000
2016-12,50597.000
2017-01,52369.482
2017-02,40523.681
2017-03,39660.507
2017-04,33734.991
2017-05,32294.990
2017-06,30798.969
2017-07,31196.854
2017-08,29512.055
2017-09,31004.569
2017-10,33597.515
2017-11,41243.152
2017-12,47083.484
2018-01,45390.159
2018-02,46414.117
2018-03,45215.895
2018-04,33800.242
2018-05,31700.225
2018-06,30448.264
2018-07,32122.827
2018-08,30083.700
2018-09,30371.779
2018-10,34374.664
2018-11,40617.342
2018-12,44008.619
2019-01,49913.379
2019-02,41263.973
2019-03,40465.138
2019-04,35335.460
2019-05,33301.108
2019-06,30494.332
2019-07,32354.108
2019-08,29615.858
2019-09,30278.010
2019-10,34067.064
2019-11,41058.591
2019-12,43448.540
2020-01,46143.952
2020-02,40482.346
2020-03,38848.754
2020-04,28704.561
2020-05,28902.531
2020-06,28994.192
2020-07,31074.007
2020-08,29528.911
2020-09,30449.493
2020-10,35859.489
2020-11,37080.693
2020-12,43911.802
2021-01,48676.970
2021-02,39888.041
2021-03,40886.963
2021-04,35384.944
2021-05,32918.067
2021-06,30209.729
2021-07,31047.527
2021-08,29271.859
2021-09,30502.766
2021-10,34482.537
2021-11,41458.604
2021-12,45554.807
2022-01,48457.177
2022-02,40082.975
2022-03,40112.719
2022-04,34679.927
2022-05,30875.684
2022-06,30529.068
2022-07,31658.721
2022-08,29824.114
2022-09,29809.576
2022-10,30144.364
2022-11,34232.073
2022-12,42137.691
2023-01,43415.657
2023-02,38482.128
2023-03,37231.160
2023-04,32113.472
2023-05,38093.152
