Date,Energy
2008-01,13032
2008-02,11852
2008-03,12356
2008-04,10671
2008-05,9298
2008-06,8372
2008-07,8004
2008-08,8272
2008-09,8960
2008-10,10518
2008-11,11789
2008-12,12904
2009-01,13095
2009-02,12106
2009-03,11710
2009-04,9142
2009-05,8345
2009-06,7395
2009-07,6924
2009-08,7489
2009-09,8189
2009-10,10632
2009-11,11035
2009-12,13385
2010-01,14804
2010-02,13011
2010-03,12388
2010-04,10119
2010-05,9048
2010-06,8149
2010-07,7523
2010-08,7900
2010-09,8580
2010-10,10505
2010-11,12586
2010-12,14754
2011-01,13491
2011-02,12323
2011-03,12220
2011-04,9331
2011-05,8665
2011-06,7808
2011-07,7769
2011-08,8132
2011-09,8555
2011-10,10066
2011-11,10883
2011-12,12384
2012-01,13394
2012-02,12604
2012-03,11466
2012-04,10411
2012-05,9209
2012-06,8295
2012-07,7880
2012-08,8289
2012-09,8980
2012-10,10943
2012-11,11588
2012-12,14244
2013-01,14244
2013-02,12446
2013-03,12977
2013-04,10798
2013-05,9346
2013-06,8080
2013-07,7894
2013-08,8218
2013-09,8786
2013-10,10491
2013-11,11695
2013-12,12436
2014-01,13832
2014-02,11595
2014-03,11871
2014-04,10114
2014-05,9301
2014-06,8116
2014-07,7705
2014-08,8203
2014-09,8697
2014-10,10406
2014-11,11480
2014-12,13272
2015-01,13462
2015-02,12015
2015-03,12191
2015-04,10374
2015-05,9855
2015-06,8843
2015-07,8361
2015-08,8549
2015-09,8943
2015-10,10589
2015-11,11673
2015-12,12814
2016-01,15220
2016-02,12998
2016-03,9534
2016-04,10938
2016-05,9534
2016-06,8364
2016-07,8146
2016-08,8646
2016-09,8768
2016-10,10874
2016-11,12599
2016-12,12973
2017-01,12944.446
2017-02,11799.788
2017-03,12048.433
2017-04,10345.456
2017-05,9110.429
2017-06,8003.852
2017-07,7787.181
2017-08,8254.078
2017-09,8505.847
2017-10,10164.285
2017-11,11770.184
2017-12,13144.942
2018-01,13556.642
2018-02,12510.586
2018-03,13295.926
2018-04,10525.577
2018-05,8827.716
2018-06,8133.601
2018-07,7794.063
2018-08,8298.578
2018-09,8808.029
2018-10,10595.5
2018-11,11316.174
2018-12,13006.736
2019-01,13652.006
2019-02,11636.821
2019-03,12311.386
2019-04,9896.451
2019-05,9385.548
2019-06,8222.395
2019-07,7917.864
2019-08,8012.73
2019-09,8551.888
2019-10,10726.263
2019-11,12246.701
2019-12,12801.005
2020-01,12551.168
2020-02,11976.451
2020-03,12215.572
2020-04,10229.632
2020-05,9472.772
2020-06,7862.932
2020-07,8089.061
2020-08,8255.492
2020-09,8743.054
2020-10,10304.723
2020-11,11038.033
2020-12,12509.854
2021-01,14510.967
2021-02,13066.898
2021-03,12306.122
2021-04,10823.771
2021-05,9806.074
2021-06,8210.924
2021-07,8110.736
2021-08,8558.259
2021-09,8788.004
2021-10,10256.492
2021-11,11488.482
2021-12,13369.253
2022-01,12908.167
2022-02,11694.41
2022-03,11588.328
2022-04,10315.627
2022-05,9401.007
2022-06,8289.296
2022-07,8221.027
2022-08,8387.131
2022-09,8618.905
2022-10,9907.692
2022-11,10555.869
2022-12,12974.233
2023-01,12731.303
2023-02,11072.008
2023-03,12488.414
2023-04,10095.137
2023-05,9071.954
2023-06,7919.383
2023-07,7889.501
